city,tmpd,dptp,date,pm10tmean2,o3tmean2,no2tmean2
chic,49,46.4,2000-03-20,19.5,14.283333333,21.758333333
chic,47,45.3,2000-03-21,36,1.8594202899,25.616666667
chic,51,44,2000-03-22,52.5,7.1321428571,35.068181818
chic,50,43.7,2000-03-23,62.5,14.905434783,36.352743271
chic,57,49,2000-03-24,39,18.098550725,29.6
chic,53,32.8,2000-03-25,18.714285714,30.45,15.991666667
chic,52,31.8,2000-03-26,24.5,30.591666667,22.241666667
chic,47,31.2,2000-03-27,21,27.824637681,18.866666667
chic,39,31.1,2000-03-28,14,14.989130435,25.035869565
chic,40,29.3,2000-03-29,18.5,16.529545455,23.881258235
chic,40,31,2000-03-30,27,19.75,27.9
chic,45,28.1,2000-03-31,51.571428571,10.065217391,50.811231884
chic,52,33.9,2000-04-01,48,14.069444444,37.233333333
chic,51,42.5,2000-04-02,46,21.671296296,25.925
chic,52,34.3,2000-04-03,45,17.792391304,27.066666667
chic,38,19.7,2000-04-04,18.5,23.79692029,24.372727273
chic,44,23.8,2000-04-05,61,22.35,30.960714286
chic,53,27.3,2000-04-06,78.166666667,23.84365942,21.348550725
chic,41,32.7,2000-04-07,29,13.890530303,23.427083333
chic,34,23,2000-04-08,22.5,25.858333333,22.864583333
chic,45,26.7,2000-04-09,21.5,21.698245614,22.278333333
chic,37,28.1,2000-04-10,17.5,26.980193237,16.269202899
chic,34,33.1,2000-04-11,12,20.959943639,22.373484848
chic,39,25.3,2000-04-12,28.571428571,19.815217391,29.512681159
chic,49,28.3,2000-04-13,39,21.061594203,33.241666667
chic,58,42.8,2000-04-14,72,23.776515152,28.108333333
chic,56,46.9,2000-04-15,46,23.356060606,15.575
chic,44,40.9,2000-04-16,20,17.797760211,15.739583333
chic,41,38.9,2000-04-17,14.5,14.69534632,17.045952381
chic,48,42.5,2000-04-18,35.285714286,7.8055455743,28.605789474
chic,52,48.8,2000-04-19,45.5,8.8286621152,25.882251082
chic,53,50.2,2000-04-20,27,12.609788597,22.566666667
chic,44,35,2000-04-21,8,28.343873518,18.891666667
chic,48,31.4,2000-04-22,24.5,20.033152174,37.358333333
chic,47,40.3,2000-04-23,20.5,31.55,21.491666667
chic,52,32.6,2000-04-24,18.714285714,32.965942029,20.716304348
chic,49,23.4,2000-04-25,13,34.913088394,21.025
chic,52,24.2,2000-04-26,24.5,26.483342744,34.115217391
chic,53,26.3,2000-04-27,60,23.004611331,43.864583333
chic,54,32.2,2000-04-28,52.5,28.845041322,34.65
chic,48,39.1,2000-04-29,10.5,22.223484848,11.191666667
chic,54,40,2000-04-30,35.333333333,23.015151515,29.558333333
chic,57,49.2,2000-05-01,45,21.131392981,39.181186869
chic,57,43.1,2000-05-02,36,25.718439334,30.612456083
chic,63,48.6,2000-05-03,45.5,30.835025153,34.719367589
chic,72,58.1,2000-05-04,62.5,31.499176548,23.238095238
chic,74,59.3,2000-05-05,65,33.841567852,24.069444444
chic,74,61.3,2000-05-06,38.285714286,32.016666667,15.944444444
chic,71,65,2000-05-07,29.5,25.2875,15.850198413
chic,76,67.5,2000-05-08,85,24.940711462,16.354641132
chic,59,55,2000-05-09,15.5,20.772891963,16.652777778
chic,55,45,2000-05-10,21.5,20.487318841,23.307065217
chic,67,59.9,2000-05-11,43.5,19.276385133,28.437238931
chic,73,66.8,2000-05-12,38,22.821146245,21.051630435
chic,53,38.4,2000-05-13,31.5,24.537878788,13.375
chic,52,33,2000-05-14,20,32.102272727,18.972222222
chic,57,35,2000-05-15,37,18.507575758,37.446969697
chic,61,49.6,2000-05-16,41,19.04417766,32.107954545
chic,61,56.5,2000-05-17,48,14.451880465,29.492796756
chic,58,51.8,2000-05-18,24.857142857,27.899044796,17.958333333
chic,46,40.3,2000-05-19,5.5,25.239624506,14.034722222
chic,55,37.8,2000-05-20,16.5,23.318526171,22.016414141
chic,57,48.6,2000-05-21,29.5,26.59469697,24.744318182
chic,67,56.4,2000-05-22,51.5,19.036067194,32.516908213
chic,69,52,2000-05-23,42,24.736330698,29.841994479
chic,68,42.2,2000-05-24,59.142857143,33.985177866,26.201690821
chic,64,36.5,2000-05-25,56.5,29.275706671,26.544642857
chic,61,48.5,2000-05-26,58.5,17.315546772,38.584088164
chic,60,55.9,2000-05-27,31.5,32.325757576,13.618055556
chic,55,52,2000-05-28,10.5,25.390151515,11.525
chic,56,47.4,2000-05-29,9.5,25.863636364,14.25
chic,65,61.4,2000-05-30,32.714285714,26.421143251,29.211476608
chic,67,64.8,2000-05-31,46.5,13.869729908,28.504370629
chic,73,65.5,2000-06-01,49,33.452902828,23.623445998
chic,60,52.8,2000-06-02,22,25.873966942,17.965277778
chic,55,44.9,2000-06-03,12,29.450757576,13.118055556
chic,56,50.6,2000-06-04,20,28.031126482,14.449275362
chic,54,47,2000-06-05,15.142857143,30.64091508,13.004960317
chic,60,41.8,2000-06-06,36,20.423134507,28.65523637
chic,64,46.8,2000-06-07,65.5,33.561511858,30.248023715
chic,78,59.8,2000-06-08,55,50.619235837,24.581349206
chic,77,57.5,2000-06-09,76,55.761034256,24.19047619
chic,80,67,2000-06-10,82.5,32.049242424,16.166666667
chic,70,66.8,2000-06-11,21.142857143,16.022727273,10.575
chic,57,56,2000-06-12,11.5,8.5941558442,10.517532468
chic,69,63.8,2000-06-13,29,12.969038208,24.729296066
chic,72,64.6,2000-06-14,33,27.556735837,22.674107143
chic,70,58.8,2000-06-15,21,26.696894838,16.791666667
chic,67,60.3,2000-06-16,22.5,23.031785244,17.958031401
chic,60,45.3,2000-06-17,11.833333333,25.759469697,11.506944444
chic,65,46.9,2000-06-18,11.5,29.393939394,15.625
chic,66,57,2000-06-19,40.5,30.643939394,25.998106061
chic,74,68.6,2000-06-20,31.5,21.42630854,19.654166667
chic,74,58,2000-06-21,16.5,26.475431189,15.430088933
chic,72,56.2,2000-06-22,23,28.597826087,16.611111111
chic,71,61.7,2000-06-23,27.666666667,24.218050066,30.096906566
chic,71,67.5,2000-06-24,23.5,22.761363636,17.361111111
chic,75,65.1,2000-06-25,25.5,29.922348485,20.555555556
chic,72,63.9,2000-06-26,19,22.381198347,22.157738095
chic,68,52.6,2000-06-27,20.5,19.686264822,22.496031746
chic,62,57,2000-06-28,30,10.016963109,29.578298513
chic,66,52.3,2000-06-29,22.25,20.104990119,22.932971014
chic,66,54.7,2000-06-30,28,20.96355851,29.555555556
chic,71,61.2,2000-07-01,27,34.745388669,20.003321256
chic,74,70,2000-07-02,32,35.711380105,13.888888889
chic,68,64.7,2000-07-03,15,21.27363307,13.583333333
chic,70,64.5,2000-07-04,22,27.28030303,11.965277778
chic,76,65,2000-07-05,31.25,40.792572464,16.224418094
chic,74,64.2,2000-07-06,26.5,38.00994131,15.646464646
chic,70,58,2000-07-07,22,24.574769433,13.753385956
chic,73,64,2000-07-08,38,34.34469697,18.763888889
chic,81,70.7,2000-07-09,46.5,37.204545455,12.923611111
chic,73,68.3,2000-07-10,20.5,29.315719697,20.948918533
chic,69,64,2000-07-11,25.166666667,32.617844203,11.827651515
chic,72,58.1,2000-07-12,25.5,36.794384058,17.683333333
chic,75,64.5,2000-07-13,36.5,33.199522398,25.795454545
chic,77,63.4,2000-07-14,23,32.657279315,18.29265873
chic,73,60.1,2000-07-15,16,26.871212121,11.902777778
chic,73,57.7,2000-07-16,21.5,22.685606061,19.3125
chic,77,63.4,2000-07-17,29.285714286,23.814888011,22.924873737
chic,66,54.3,2000-07-18,17,21.262763505,7.0645128824
chic,63,53.9,2000-07-19,11.5,19.413283028,11.021121542
chic,67,56.3,2000-07-20,36,17.387830878,22.229166667
chic,67,51.1,2000-07-21,19.5,16.585991907,20.159851622
chic,63,53.9,2000-07-22,16.5,17.15530303,13.59375
chic,63,49.7,2000-07-23,13.714285714,17.59469697,11.545138889
chic,66,53.6,2000-07-24,24,29.728919631,17.416666667
chic,69,56.7,2000-07-25,37,30.779232543,30.227506039
chic,73,60.8,2000-07-26,62,35.882493412,29.769065657
chic,77,65.8,2000-07-27,59,32.030961792,32.36489899
chic,74,65.5,2000-07-28,30,32.234346928,24.692330918
chic,73,65.9,2000-07-29,27.285714286,48.208333333,10.170138889
chic,71,67.1,2000-07-30,20.5,35.313076416,11.026871981
chic,70,66.2,2000-07-31,24.5,17.7862768,24.4375
chic,73,67.2,2000-08-01,31.5,18.036127081,26.372997712
chic,76,64.6,2000-08-02,34,26.080368906,15.899255715
chic,63,54.5,2000-08-03,5.5,27.655632411,9.8298611111
chic,67,53.8,2000-08-04,27.2,22.742094862,25.184027778
chic,67,61.3,2000-08-05,33.5,23.535984848,25.15625
chic,78,70.6,2000-08-06,32,30.507305195,15.0625
chic,76,66.5,2000-08-07,22,18.427772573,20.679473304
chic,77,69.4,2000-08-08,30,20.756587615,21.790260524
chic,79,67,2000-08-09,38.5,25.810387529,19.152146465
chic,74,62.3,2000-08-10,26.2,22.85564888,22.298611111
chic,71,60.8,2000-08-11,23.5,17.583333333,20.024206349
chic,71,61,2000-08-12,25.5,23.505681818,22.270833333
chic,74,62.5,2000-08-13,23,25.9375,22.104166667
chic,76,67.9,2000-08-14,50,30.888609414,25.590593434
chic,82,68.8,2000-08-15,53.5,38.968230168,21.005050505
chic,70,54.9,2000-08-16,17.5,21.224967062,12.202445652
chic,68,62.3,2000-08-17,22,21.562711745,19.489772727
chic,67,59.5,2000-08-18,12.5,22.846545994,14.868055556
chic,64,56,2000-08-19,19.5,17.395833333,12.795138889
chic,65,54,2000-08-20,11.5,27.837121212,12.979166667
chic,67,56.3,2000-08-21,27.5,29.004940711,23.159722222
chic,76,67.6,2000-08-22,41.166666667,28.753540843,26.785722474
chic,76,69,2000-08-23,46.5,28.412302372,24.118055556
chic,71,58.5,2000-08-24,29.5,25.22067014,21.807671958
chic,70,59,2000-08-25,53.5,23.865942029,36.174818841
chic,73,64.6,2000-08-26,48,29.876893939,23.864583333
chic,72,64.3,2000-08-27,18.5,41.793560606,7.2955917874
chic,75,64.2,2000-08-28,37.285714286,31.251893939,20.611111111
chic,77,68.7,2000-08-29,44.5,28.352025692,18.816919192
chic,77,70.6,2000-08-30,59,29.678853755,19.30298913
chic,80,68.2,2000-08-31,56.5,35.470772947,30.799094203
chic,80,69,2000-09-01,57.5,40.819275833,32.7
chic,79,67.3,2000-09-02,31.5,37.386574074,20.308333333
chic,77,66.8,2000-09-03,33.714285714,36.282407407,16.920833333
chic,66,55.1,2000-09-04,9,24.409722222,6.1583333333
chic,63,45.2,2000-09-05,12.5,29.873655029,10.993400621
chic,61,48.4,2000-09-06,30.5,24.777355072,24.058020422
chic,74,60.5,2000-09-07,48,26.027083333,29.435833333
chic,75,66.8,2000-09-08,42,14.951449275,29.669191919
chic,76,67.4,2000-09-09,26.714285714,18.239583333,17.6875
chic,78,70.5,2000-09-10,20,13.829166667,13.572916667
chic,75,67.9,2000-09-11,37,20.094655797,19.39614899
chic,63,52.9,2000-09-12,16.5,17.416666667,20.193014706
chic,63,49.7,2000-09-13,41.5,11.55615942,35.01876294
chic,65,52.5,2000-09-14,23.5,18.606966403,27.326388889
chic,56,40.1,2000-09-15,13.142857143,12.659090909,19.977807971
chic,56,41,2000-09-16,14.5,13.820075758,23.791666667
chic,68,47.7,2000-09-17,25,27.945322793,22.972222222
chic,69,53.2,2000-09-18,57,23.710968379,41.39794686
chic,75,51.1,2000-09-19,69.5,39.623652533,30.532828283
chic,58,53,2000-09-20,21.5,9.2270256917,23.494565217
chic,54,40.5,2000-09-21,17,14.848020721,18.939141414
chic,58,51.3,2000-09-22,27,7.4078557312,26.136926329
chic,63,58.2,2000-09-23,13.5,12.359354414,16.839975845
chic,53,46.2,2000-09-24,4.5,22.507575758,8.2083333333
chic,49,40.2,2000-09-25,7,17.207509881,15.488518728
chic,56,41.2,2000-09-26,28.5,10.170364714,31.640782828
chic,59,46.6,2000-09-27,22,15.378129117,21.724637681
chic,55,41.1,2000-09-28,16,15.248697449,17.535326087
chic,61,42.1,2000-09-29,37.5,10.217852437,28.962911726
chic,65,48.1,2000-09-30,47.5,24,22.92
chic,72,50.7,2000-10-01,65,47.092753623,15.038043478
chic,69,53.8,2000-10-02,46,29.193939394,23.296969697
chic,59,49.7,2000-10-03,30,14.379018445,20.650098814
chic,57,47.1,2000-10-04,10,27.580797101,12.107971014
chic,52,48.2,2000-10-05,13.5,16.84990942,18.210177866
chic,41,29.4,2000-10-06,14.5,14.415439723,19.394927536
chic,40,26.7,2000-10-07,13,10.846014493,15.85
chic,39,26.6,2000-10-08,8,12.427083333,16.370175439
chic,44,25.9,2000-10-09,18.285714286,7.8063405797,29.331521739
chic,49,27,2000-10-10,33.5,7.6597002635,31.539530397
chic,53,30.2,2000-10-11,52.5,8.775,39.419047619
chic,58,36.3,2000-10-12,79,20.067267787,39.757954545
chic,66,39.6,2000-10-13,81,29.013315217,32.541666667
chic,67,49.3,2000-10-14,54.5,24.922916667,31.041666667
chic,55,47.6,2000-10-15,19.571428571,17.052083333,17.529166667
chic,51,46.6,2000-10-16,27,15.569565217,19.805797101
chic,52,45.5,2000-10-17,28.5,10.014204545,26.255952381
chic,54,45.7,2000-10-18,57.5,9.2684782609,37.993181818
chic,62,47.3,2000-10-19,45.5,12.80111166,35.744746377
chic,66,49.1,2000-10-20,57,22.837096509,35.103571429
chic,58,50.3,2000-10-21,39,20.65625,22.891666667
chic,59,51.8,2000-10-22,35,11.641485507,24.282608696
chic,65,60.5,2000-10-23,55.5,3.1515151515,37.191666667
chic,63,60.3,2000-10-24,31.5,10.174365942,22.916666667
chic,62,57.9,2000-10-25,33,11.79384058,23.860079051
chic,68,58.3,2000-10-26,65.5,18.045380435,32.055434783
chic,61,53.4,2000-10-27,29.714285714,15.250905797,19.826315789
chic,50,41.4,2000-10-28,8.5,23.34375,10.283333333
chic,46,36.8,2000-10-29,23.5,16.375,17.029166667
chic,50,32.7,2000-10-30,24,11.066485507,28.008333333
chic,59,37.6,2000-10-31,36.5,5.4569746377,30.641666667
chic,63,44.6,2000-11-01,38.5,7.8472222222,32.234649123
chic,55,48.6,2000-11-02,31.666666667,5.6805555556,26.637681159
chic,48,34.8,2000-11-03,30,7.4414251208,25.871343874
chic,46,31.4,2000-11-04,28.5,6.7192028986,28.349637681
chic,46,31,2000-11-05,26,14.308080808,24.694474153
chic,49,38,2000-11-06,30,18.612922705,19.182291667
chic,49,41.9,2000-11-07,13.5,4.8617149758,16.009922596
chic,40,31.5,2000-11-08,17.714285714,3.0060386473,21.739583333
chic,39,37,2000-11-09,10.5,4.8562801932,17.02513587
chic,37,31.6,2000-11-10,17.5,3.5694444444,19.75
chic,38,32.1,2000-11-11,22,4.9305555556,21.989583333
chic,45,37.3,2000-11-12,14.5,5.7361111111,17.578125
chic,36,29.7,2000-11-13,16,3.8333333333,17.03125
chic,32,26.4,2000-11-14,13.571428571,7,16.305871212
chic,31,23.6,2000-11-15,26.5,7.5416666667,24.258928571
chic,36,29.2,2000-11-16,26.5,4.904589372,18.32798913
chic,30,20.8,2000-11-17,15,8.3490338164,19.902626812
chic,27,18.3,2000-11-18,27,12.222222222,15.948822464
chic,30,22,2000-11-19,17.5,11.208333333,16.791666667
chic,24,17.9,2000-11-20,20.428571429,10.215909091,16.132102273
chic,19,8,2000-11-21,24,10.722222222,25.378968254
chic,22,11,2000-11-22,30,4.7916666667,32.479166667
chic,29,17,2000-11-23,33,4.2916666667,34.21875
chic,32,19.2,2000-11-24,34,3.788647343,33.384057971
chic,38,32.6,2000-11-25,28,7.375,24.786458333
chic,39,36.6,2000-11-26,23.285714286,1.0416666667,19.010416667
chic,34,30.5,2000-11-27,40.5,1.1388888889,19.360054348
chic,34,29.7,2000-11-28,28.5,2.6944444444,23.166666667
chic,35,33.1,2000-11-29,21,1.3194444444,22.303977273
chic,34,30.7,2000-11-30,16.5,4.8712121212,23.851222826
chic,34,24.8,2000-12-01,7,21.166666667,17.866666667
chic,31,21.6,2000-12-02,6.4285714286,27.708333333,15.525
chic,28,19.3,2000-12-03,16,6.1388888889,31.409848485
chic,32,24,2000-12-04,30.5,6.125,21.114393939
chic,21,2.8,2000-12-05,18,13.207125604,22.97173913
chic,15,8,2000-12-06,23,4.8333333333,25.436471861
chic,25,23.5,2000-12-07,26.5,1.7741545894,25.321212121
chic,18,11.8,2000-12-08,30,7.0694444444,27.616666667
chic,16,13.1,2000-12-09,37.5,3.1944444444,35.258333333
chic,30,24.8,2000-12-10,27,2.4444444444,23.125
chic,23,21.2,2000-12-11,14,15.569444444,18.483333333
chic,4,0.3,2000-12-12,28,8.2361111111,32.116666667
chic,8,7.9,2000-12-13,37,3.9335748792,34.745243544
chic,17,17.1,2000-12-14,33.571428571,2.6527777778,41.783333333
chic,17,17.4,2000-12-15,39,1.4631642512,35.46884058
chic,25,27,2000-12-16,16.5,1.2083333333,26.041666667
chic,8,0.6,2000-12-17,18.5,13.416666667,16.116666667
chic,8,3.5,2000-12-18,27.5,3.6041666667,33.525
chic,14,9.2,2000-12-19,25.5,6.7916666667,35.133135705
chic,6,4.7,2000-12-20,38.571428571,3.1657608696,39.00877193
chic,6,0.1,2000-12-21,35,10.923913043,24.349130435
chic,-1,-7.1,2000-12-22,24.5,7.7916666667,30.888043478
chic,8,5.1,2000-12-23,33,4.6041666667,35.160869565
chic,5,-1.4,2000-12-24,35.5,8.9791666667,31.766666667
chic,5,-1.7,2000-12-25,40.5,4.5,41.8
chic,11,9.2,2000-12-26,25.833333333,6.9375,36.85
chic,12,7.6,2000-12-27,38,5.0833333333,33.022463768
chic,13,9,2000-12-28,31.5,7.2708333333,36.125774045
chic,21,16.9,2000-12-29,23,11.708333333,33.303787879
chic,27,23,2000-12-30,8.5,17.145833333,23.916666667
chic,16,16.3,2000-12-31,10.5,12.854166667,30.041666667
chic,15,9.9,2001-01-01,28.2,7.2708333333,37.041666667
chic,12,6.1,2001-01-02,26,4.9753787879,43.004464286
chic,18,18.3,2001-01-03,30,5.9166666667,31.8125
chic,25,21.3,2001-01-04,25,7.625,30.75
chic,29,23.7,2001-01-05,24,9.2780797101,31.328598485
chic,25,19.4,2001-01-06,22,6,33.239583333
chic,28,22.8,2001-01-07,21.8,8.625,27.75
chic,19,13,2001-01-08,17,7.9791666667,34.479166667
chic,17,11.4,2001-01-09,NA,7.6041666667,36.0625
chic,26,19.1,2001-01-10,31,4.75,35.721590909
chic,29,23.7,2001-01-11,36,2.1974637681,42.041990166
chic,30,29.3,2001-01-12,35,1.8623188406,40.528532609
chic,34,31.6,2001-01-13,31.833333333,4.5833333333,27.635416667
chic,34,33.9,2001-01-14,22,0.5,26.1875
chic,33,31.4,2001-01-15,13.5,1.5833333333,17.510416667
chic,29,25,2001-01-16,15,4.25,23.964583333
chic,23,19.3,2001-01-17,30,4.4375,30.495535714
chic,25,20.6,2001-01-18,43,4.3822463768,31.30298913
chic,22,17.8,2001-01-19,26,8.0461956522,27.96875
chic,18,9.9,2001-01-20,20,10.625,29.4375
chic,17,10.5,2001-01-21,34,5.1458333333,30.90625
chic,18,14.6,2001-01-22,68,3.125,43.677083333
chic,28,22.7,2001-01-23,45,3.1875,36.792045455
chic,22,16.6,2001-01-24,31,8.1534090909,33.667860672
chic,19,11,2001-01-25,28.5,7.1585144928,34.682017544
chic,26,21.7,2001-01-26,34,4.625,28.770833333
chic,21,12.5,2001-01-27,14.5,19.0625,21.78125
chic,22,15.2,2001-01-28,29,7.4583333333,30.614583333
chic,36,33,2001-01-29,31,4.8522727273,29.042748918
chic,36,33.6,2001-01-30,11,6.25,34.385416667
chic,31,29,2001-01-31,24.333333333,4.9990942029,26.037878788
chic,18,15.3,2001-02-01,29,10.645833333,28.483734403
chic,5,-1.7,2001-02-02,32.5,10.479166667,25.065217391
chic,20,16.4,2001-02-03,25.5,5.0833333333,23.8125
chic,30,29,2001-02-04,18,4.5833333333,28.604166667
chic,29,24.4,2001-02-05,35,5.4565217391,28.088068182
chic,28,25.3,2001-02-06,36.5,5.8632246377,33.991666667
chic,26,24.7,2001-02-07,34,4.7291666667,38.598755411
chic,44,42.2,2001-02-08,44.5,5.1875,35.259057971
chic,37,35.9,2001-02-09,22.5,14.875,23.890398551
chic,16,7.2,2001-02-10,16.5,15.863970588,25.057971014
chic,19,12.4,2001-02-11,19,14.074404762,23.751893939
chic,29,23.2,2001-02-12,29,6.1458333333,26.697916667
chic,35,29.7,2001-02-13,34,7.1739130435,29.547916667
chic,33,31.1,2001-02-14,18.5,10.1875,22.182871024
chic,29,23.9,2001-02-15,12,23.854166667,18.55932971
chic,23,17.3,2001-02-16,23,16.5625,28.982336957
chic,13,0.3,2001-02-17,11,16.979166667,19.646286232
chic,18,6.1,2001-02-18,16.4,17.5,18.875
chic,35,26.2,2001-02-19,64,10.5,22.819293478
chic,27,17.1,2001-02-20,30,18.75,30.501488095
chic,15,-0.9,2001-02-21,16,23.195652174,20.681612319
chic,23,18.6,2001-02-22,21.5,13.416666667,23.71875
chic,24,14.8,2001-02-23,23.5,25.416666667,24.235548419
chic,43,35.7,2001-02-24,31.5,9.5625,21.09375
chic,42,29.1,2001-02-25,12,25.270833333,11.614583333
chic,31,22,2001-02-26,21,18.72826087,28.454257246
chic,23,8.2,2001-02-27,11,19.558712121,24.554924242
chic,20,2,2001-02-28,18,15.282608696,26.479166667
chic,31,15.5,2001-03-01,27,14.875,25.769886364
chic,35,29,2001-03-02,35,7.5208333333,30.25
chic,36,25.1,2001-03-03,49.5,6.1875,48.71875
chic,30,21,2001-03-04,14.5,23,20.653985507
chic,23,11.6,2001-03-05,22.5,19.354166667,20.297348485
chic,28,17.1,2001-03-06,20,15.519021739,28.538496377
chic,33,19.2,2001-03-07,31,17.291666667,28.930555556
chic,31,21.7,2001-03-08,25,22.294642857,27.116185897
chic,31,18,2001-03-09,19.5,13.625,32.747282609
chic,34,25,2001-03-10,45.5,16.833333333,33.177083333
chic,33,23.5,2001-03-11,9,29.125,14.010416667
chic,40,34.2,2001-03-12,31.5,10.354166667,25.345643939
chic,37,29.7,2001-03-13,18.5,22.895833333,21.287878788
chic,38,32.9,2001-03-14,20,14.391304348,32.673913043
chic,39,35.7,2001-03-15,17,20.236111111,21.229166667
chic,32,30,2001-03-16,7,33.277777778,16.854166667
chic,32,24.5,2001-03-17,6,30.305555556,21.72192029
chic,32,21.5,2001-03-18,16.5,25.083333333,30.895833333
chic,36,23.1,2001-03-19,23,24.925505051,35.270833333
chic,38,25.2,2001-03-20,28.833333333,27.971618357,32.845561594
chic,41,26.6,2001-03-21,34.5,25.995772947,36.21577381
chic,42,33.4,2001-03-22,39,18.152777778,41.739912281
chic,42,30.7,2001-03-23,32.5,21.277777778,26.677083333
chic,29,12.6,2001-03-24,20.5,28.527777778,15.1875
chic,22,7.8,2001-03-25,24,20.847222222,14.020833333
chic,25,11.1,2001-03-26,16.333333333,14.791666667,22.678743961
